1cjFposQiHg	Top 8 Increíbles Robots Más Avanzados Del Mundo	GStech	855	es	true	hd
k3ANu42J__E	SEGUIMOS HABLANDO de MODULOS en WAR ROBOTS | SORILOKO	SORILOKO	595		true	hd
rDRf96oKv1Y	5 Increíbles Robots Que Pueden Ser Tus Nuevos Mejores Amigos	GStech	525		true	hd
fbrX8BTNR7c	War Robots My Best Mk2 Maxed Out Raven Setup Gameplay - WR NEW	Manni-Gaming	649	en-US	true	hd
InUXVArKjUs	STRIDER, el robot MÁS RAPIDO del juego :| SORILOKO War Robots	SORILOKO	273		true	hd
glV2GF9D5as	Shocktrain Fujin Effective In Champion League? | Fujin vs Dash Gameplay | War Robots	PREDATOR WR	905		true	hd
wXxrmussq4E	New dog-like robot from Boston Dynamics can open doors	Guardian News	945	en-US	true	hd
rZ0QkYWhh0M	Zuckerberg's Robots and Capitalist Crisis	Zero Books	423	en	true	hd
zz4ojs-zK5A	War Robots Robot Guide 2018: Inquisitor or Spectre | Which is the Best Robot?	Adrian Chong	1081	en-GB	true	hd
7e8wcgIwZyI	5 ROBOTS INCREÍBLES QUE DEBES CONOCER	TechZone	623	es-419	true	hd
Z1mM2ROxBPE	The Robots That Milk Cows	Wall Street Journal	453		true	hd
8JfbW8Azka4	Los robots despertarán en 2029	Vicente Fuentes	1102	es	true	hd
fRj34o4hN4I	What's new, Atlas?	BostonDynamics	1135		true	hd
ouEHhZvyPMU	Spiderman Mech Armor Robot Fights Ultron with Ironman Mech Armor and The Hulk Mech Armor Robots	ToysReviewToys	963	en	true	hd
-seiq5arPKc	War Robots - Spectre в новой покраске - боятся Все!!!	Джон Доллар	604		true	hd
sZ_-yb-TN9M	10 Amazing Robots That Really Exist	MAD LAB	607		true	hd
bBy3tIgKUk8	Free for All (Todos contra todos) Guía Básica - War Robots	Anakin	611	es-419	true	hd
AOrid_KtZLg	5 Cosas Más Aterradoras HECHAS  por robots	BreakMan	625	es	true	hd
DxgHuwDTR48	Tech Companies Collaborate To Create Next-Gen Sex Robots	CBS Miami	230	en	true	hd
mbUz4TCCKZY	War robots hack 2018 - how to hack war robots in 2018 for free	elspeth seisay	254		false	hd
